text,code
"write a python program to find three numbers whose product is maximum in an array using insertion sort
","def insertionSort(array):
    for i in range(1, len(array)):
        key = array[i]
        j = i-1
        while array[j] > key and j >= 0:
            array[j+1] = array[j]
            j -= 1
        array[j+1] = key
    return array
arr = [1,2,3,4]
arr = insertionSort(arr)
print(max(arr[-1] * arr[-2] * arr[-3], arr[0] * arr[1] * arr[-1]))




"
"write a python program to find the largest perimeter of a triangle with a non-zero area, formed from three of these lengths in an array using insertion sort
","def insertionSort(array):
    for i in range(1, len(array)):
        key = array[i]
        j = i-1
        while array[j] > key and j >= 0:
            array[j+1] = array[j]
            j -= 1
        array[j+1] = key
    return array
arr = [2,1,2]
arr = insertionSort(arr)[::-1]
for i in range(len(arr)-2):
    if arr[i] + arr[i+1] > arr[i+2]:
        print(arr[i] + arr[i+1] + arr[i+2])




"
"write a python program to print an array of the squares of each number sorted in non-decreasing order of a given array using insertion sort
","def insertionSort(array):
    for i in range(1, len(array)):
        key = array[i]
        j = i-1
        while array[j] > key and j >= 0:
            array[j+1] = array[j]
            j -= 1
        array[j+1] = key
    return array
arr = [-2,-1,0,3,4]
for i in range(len(arr)):
    arr[i] *= arr[i]
print(insertionSort(arr))




"
"write a python program to find the mean of the remaining integers after removing the smallest 5% and the largest 5% of the elements in an array using insertion sort
","def insertionSort(array):
    for i in range(1, len(array)):
        key = array[i]
        j = i-1
        while array[j] > key and j >= 0:
            array[j+1] = array[j]
            j -= 1
        array[j+1] = key
    return array
arr = [1,3,3,2,2,2,2,2,2,2,2,3,3,1]
arr = insertionSort(arr)
start = int(len(arr)*5/100)
arr2 = arr[start:len(arr)-start]
print(sum(arr2)/len(arr2))




"
"write a python program to find out how many numbers in the array are smaller than each element using insertion sort
","def insertionSort(array):
    for i in range(1, len(array)):
        key = array[i]
        j = i-1
        while array[j] > key and j >= 0:
            array[j+1] = array[j]
            j -= 1
        array[j+1] = key
    return array
arr = [6,5,4,8]
arr2 = insertionSort(arr.copy())
print([arr2.index(i) for i in arr])




"
"write a python program to sort an array in ascending order using shell sort
","import math
def shellSort(array):
    n = len(array)
    k = int(math.log2(n))
    interval = 2**k -1
    while interval > 0:
        for i in range(interval, n):
            temp = array[i]
            j = i
            while j >= interval and array[j - interval] > temp:
                array[j] = array[j - interval]
                j -= interval
            array[j] = temp
        k -= 1
        interval = 2**k -1
    return array
arr = [9,4,3,5,6,1,2,7]
print(shellSort(arr))




"
"write a python program to sort an array in descending order using shell sort
","import math
def shellSort(array):
    n = len(array)
    k = int(math.log2(n))
    interval = 2**k -1
    while interval > 0:
        for i in range(interval, n):
            temp = array[i]
            j = i
            while j >= interval and array[j - interval] < temp:
                array[j] = array[j - interval]
                j -= interval
            array[j] = temp
        k -= 1
        interval = 2**k -1
    return array
arr = [9,4,3,5,6,1,2,7]
print(shellSort(arr))




"
"write a python program to find the element that appears more than ⌊n / 2⌋ times in an array using shell sort, assume that this element always exists in the array
","import math
def shellSort(array):
    n = len(array)
    k = int(math.log2(n))
    interval = 2**k -1
    while interval > 0:
        for i in range(interval, n):
            temp = array[i]
            j = i
            while j >= interval and array[j - interval] > temp:
                array[j] = array[j - interval]
                j -= interval
            array[j] = temp
        k -= 1
        interval = 2**k -1
    return array
arr = [2,2,1,1,1,2,2]
arr = shellSort(arr)
print(arr[len(arr)//2])




"
"write a python program to check if any value appears at least twice in the array using shell sort
","import math
def shellSort(array):
    n = len(array)
    k = int(math.log2(n))
    interval = 2**k -1
    while interval > 0:
        for i in range(interval, n):
            temp = array[i]
            j = i
            while j >= interval and array[j - interval] > temp:
                array[j] = array[j - interval]
                j -= interval
            array[j] = temp
        k -= 1
        interval = 2**k -1
    return array
arr = [1,2,3,1]
arr = shellSort(arr)
for i in range(len(arr)-1):
    if arr[i] == arr[i+1]:
        print(""A value appears at least twice in the array"")
        break
    else:
        if (i+1 == len(arr)-1):
            print(""No value appear twice in the array"")




"
"write a python program to find the third distinct maximum number in this array using shell sort
","import math
def shellSort(array):
    n = len(array)
    k = int(math.log2(n))
    interval = 2**k -1
    while interval > 0:
        for i in range(interval, n):
            temp = array[i]
            j = i
            while j >= interval and array[j - interval] > temp:
                array[j] = array[j - interval]
                j -= interval
            array[j] = temp
        k -= 1
        interval = 2**k -1
    return array
arr = [2,2,3,1]
arr = shellSort(arr)
count = 1
prev = arr[0]
for i in range(len(arr)):
    if arr[i] != prev:
        count += 1
        prev = arr[i]
        if count == 3:
            print(arr[i])




"
"write a python program to find three numbers whose product is maximum in an array using shell sort
","import math
def shellSort(array):
    n = len(array)
    k = int(math.log2(n))
    interval = 2**k -1
    while interval > 0:
        for i in range(interval, n):
            temp = array[i]
            j = i
            while j >= interval and array[j - interval] > temp:
                array[j] = array[j - interval]
                j -= interval
            array[j] = temp
        k -= 1
        interval = 2**k -1
    return array
arr = [1,2,3,4]
arr = shellSort(arr)
print(max(arr[-1] * arr[-2] * arr[-3], arr[0] * arr[1] * arr[-1]))




"
"write a python program to find the largest perimeter of a triangle with a non-zero area, formed from three of these lengths in an array using shell sort
","import math
def shellSort(array):
    n = len(array)
    k = int(math.log2(n))
    interval = 2**k -1
    while interval > 0:
        for i in range(interval, n):
            temp = array[i]
            j = i
            while j >= interval and array[j - interval] > temp:
                array[j] = array[j - interval]
                j -= interval
            array[j] = temp
        k -= 1
        interval = 2**k -1
    return array
arr = [2,1,2]
arr = shellSort(arr)[::-1]
for i in range(len(arr)-2):
    if arr[i] + arr[i+1] > arr[i+2]:
        print(arr[i] + arr[i+1] + arr[i+2])




"
"write a python program to print an array of the squares of each number sorted in non-decreasing order of a given array using shell sort
","import math
def shellSort(array):
    n = len(array)
    k = int(math.log2(n))
    interval = 2**k -1
    while interval > 0:
        for i in range(interval, n):
            temp = array[i]
            j = i
            while j >= interval and array[j - interval] > temp:
                array[j] = array[j - interval]
                j -= interval
            array[j] = temp
        k -= 1
        interval = 2**k -1
    return array
arr = [-2,-1,0,3,4]
for i in range(len(arr)):
    arr[i] *= arr[i]
print(shellSort(arr))




"
"write a python program to find the mean of the remaining integers after removing the smallest 5% and the largest 5% of the elements in an array using shell sort
","import math
def shellSort(array):
    n = len(array)
    k = int(math.log2(n))
    interval = 2**k -1
    while interval > 0:
        for i in range(interval, n):
            temp = array[i]
            j = i
            while j >= interval and array[j - interval] > temp:
                array[j] = array[j - interval]
                j -= interval
            array[j] = temp
        k -= 1
        interval = 2**k -1
    return array
arr = [1,3,3,2,2,2,2,2,2,2,2,3,3,1]
arr = shellSort(arr)
start = int(len(arr)*5/100)
arr2 = arr[start:len(arr)-start]
print(sum(arr2)/len(arr2))




"
"write a python program to find out how many numbers in the array are smaller than each element using shell sort
","import math
def shellSort(array):
    n = len(array)
    k = int(math.log2(n))
    interval = 2**k -1
    while interval > 0:
        for i in range(interval, n):
            temp = array[i]
            j = i
            while j >= interval and array[j - interval] > temp:
                array[j] = array[j - interval]
                j -= interval
            array[j] = temp
        k -= 1
        interval = 2**k -1
    return array
arr = [6,5,4,8]
arr2 = shellSort(arr.copy())
print([arr2.index(i) for i in arr])




"
"write a python program to sort an array in ascending order using heap sort
","def heapify(array, n, i):
    largest = i
    l = 2 * i + 1
    r = 2 * i + 2
    if l < n and array[i] < array[l]:
        largest = l
    if r < n and array[largest] < array[r]:
        largest = r
    if largest != i:
        array[i], array[largest] = array[largest], array[i]
        heapify(array, n, largest)
def heapSort(array):
    n = len(array)
    for i in range(n//2, -1, -1):
        heapify(array, n, i)
    for i in range(n-1, 0, -1):
        array[i], array[0] = array[0], array[i]
        heapify(array, i, 0)
    return array
arr = [9,4,3,5,6,1,2,7]
print(heapSort(arr))




"
"write a python program to sort an array in descending order using heap sort
","def heapify(array, n, i):
    smallest = i
    l = 2 * i + 1
    r = 2 * i + 2
    if l < n and array[i] > array[l]:
        smallest = l
    if r < n and array[smallest] > array[r]:
        smallest = r
    if smallest != i:
        array[i], array[smallest] = array[smallest], array[i]
        heapify(array, n, smallest)
def heapSort(array):
    n = len(array)
    for i in range(n//2, -1, -1):
        heapify(array, n, i)
    for i in range(n-1, 0, -1):
        array[i], array[0] = array[0], array[i]
        heapify(array, i, 0)
    return array
arr = [9,4,3,5,6,1,2,7]
print(heapSort(arr))




"
"write a python program to find the element that appears more than ⌊n / 2⌋ times in an array using shell sort, assume that this element always exists in the array
","def heapify(array, n, i):
    smallest = i
    l = 2 * i + 1
    r = 2 * i + 2
    if l < n and array[i] < array[l]:
        smallest = l
    if r < n and array[smallest] < array[r]:
        smallest = r
    if smallest != i:
        array[i], array[smallest] = array[smallest], array[i]
        heapify(array, n, smallest)
def heapSort(array):
    n = len(array)
    for i in range(n//2, -1, -1):
        heapify(array, n, i)
    for i in range(n-1, 0, -1):
        array[i], array[0] = array[0], array[i]
        heapify(array, i, 0)
    return array
arr = [2,2,1,1,1,2,2]
arr = heapSort(arr)
print(arr[len(arr)//2])




"
"write a python program to check if any value appears at least twice in the array using heap sort
","def heapify(array, n, i):
    smallest = i
    l = 2 * i + 1
    r = 2 * i + 2
    if l < n and array[i] < array[l]:
        smallest = l
    if r < n and array[smallest] < array[r]:
        smallest = r
    if smallest != i:
        array[i], array[smallest] = array[smallest], array[i]
        heapify(array, n, smallest)
def heapSort(array):
    n = len(array)
    for i in range(n//2, -1, -1):
        heapify(array, n, i)
    for i in range(n-1, 0, -1):
        array[i], array[0] = array[0], array[i]
        heapify(array, i, 0)
    return array
arr = [1,2,3,1]
arr = heapSort(arr)
for i in range(len(arr)-1):
    if arr[i] == arr[i+1]:
        print(""A value appears at least twice in the array"")
        break
    else:
        if (i+1 == len(arr)-1):
            print(""No value appear twice in the array"")




"
"write a python program to find the third distinct maximum number in this array using heap sort
","def heapify(array, n, i):
    smallest = i
    l = 2 * i + 1
    r = 2 * i + 2
    if l < n and array[i] < array[l]:
        smallest = l
    if r < n and array[smallest] < array[r]:
        smallest = r
    if smallest != i:
        array[i], array[smallest] = array[smallest], array[i]
        heapify(array, n, smallest)
def heapSort(array):
    n = len(array)
    for i in range(n//2, -1, -1):
        heapify(array, n, i)
    for i in range(n-1, 0, -1):
        array[i], array[0] = array[0], array[i]
        heapify(array, i, 0)
    return array
arr = [2,2,3,1]
arr = heapSort(arr)
count = 1
prev = arr[0]
for i in range(len(arr)):
    if arr[i] != prev:
        count += 1
        prev = arr[i]
        if count == 3:
            print(arr[i])




"
"write a python program to find three numbers whose product is maximum in an array using heap sort
","def heapify(array, n, i):
    smallest = i
    l = 2 * i + 1
    r = 2 * i + 2
    if l < n and array[i] < array[l]:
        smallest = l
    if r < n and array[smallest] < array[r]:
        smallest = r
    if smallest != i:
        array[i], array[smallest] = array[smallest], array[i]
        heapify(array, n, smallest)
def heapSort(array):
    n = len(array)
    for i in range(n//2, -1, -1):
        heapify(array, n, i)
    for i in range(n-1, 0, -1):
        array[i], array[0] = array[0], array[i]
        heapify(array, i, 0)
    return array
arr = [1,2,3,4]
arr = heapSort(arr)
print(max(arr[-1] * arr[-2] * arr[-3], arr[0] * arr[1] * arr[-1]))




"
"write a python program to find the largest perimeter of a triangle with a non-zero area, formed from three of these lengths in an array using heap sort
","def heapify(array, n, i):
    smallest = i
    l = 2 * i + 1
    r = 2 * i + 2
    if l < n and array[i] < array[l]:
        smallest = l
    if r < n and array[smallest] < array[r]:
        smallest = r
    if smallest != i:
        array[i], array[smallest] = array[smallest], array[i]
        heapify(array, n, smallest)
def heapSort(array):
    n = len(array)
    for i in range(n//2, -1, -1):
        heapify(array, n, i)
    for i in range(n-1, 0, -1):
        array[i], array[0] = array[0], array[i]
        heapify(array, i, 0)
    return array
arr = [2,1,2]
arr = heapSort(arr)[::-1]
for i in range(len(arr)-2):
    if arr[i] + arr[i+1] > arr[i+2]:
        print(arr[i] + arr[i+1] + arr[i+2])




"
"write a python program to print an array of the squares of each number sorted in non-decreasing order of a given array using heap sort
","def heapify(array, n, i):
    smallest = i
    l = 2 * i + 1
    r = 2 * i + 2
    if l < n and array[i] < array[l]:
        smallest = l
    if r < n and array[smallest] < array[r]:
        smallest = r
    if smallest != i:
        array[i], array[smallest] = array[smallest], array[i]
        heapify(array, n, smallest)
def heapSort(array):
    n = len(array)
    for i in range(n//2, -1, -1):
        heapify(array, n, i)
    for i in range(n-1, 0, -1):
        array[i], array[0] = array[0], array[i]
        heapify(array, i, 0)
    return array
arr = [-2,-1,0,3,4]
for i in range(len(arr)):
    arr[i] *= arr[i]
print(heapSort(arr))




"
"write a python program to find the mean of the remaining integers after removing the smallest 5% and the largest 5% of the elements in an array using heap sort
","def heapify(array, n, i):
    smallest = i
    l = 2 * i + 1
    r = 2 * i + 2
    if l < n and array[i] < array[l]:
        smallest = l
    if r < n and array[smallest] < array[r]:
        smallest = r
    if smallest != i:
        array[i], array[smallest] = array[smallest], array[i]
        heapify(array, n, smallest)
def heapSort(array):
    n = len(array)
    for i in range(n//2, -1, -1):
        heapify(array, n, i)
    for i in range(n-1, 0, -1):
        array[i], array[0] = array[0], array[i]
        heapify(array, i, 0)
    return array
arr = [1,3,3,2,2,2,2,2,2,2,2,3,3,1]
arr = heapSort(arr)
start = int(len(arr)*5/100)
arr2 = arr[start:len(arr)-start]
print(sum(arr2)/len(arr2))




"
"write a python program to find out how many numbers in the array are smaller than each element using heap sort
","def heapify(array, n, i):
    smallest = i
    l = 2 * i + 1
    r = 2 * i + 2
    if l < n and array[i] < array[l]:
        smallest = l
    if r < n and array[smallest] < array[r]:
        smallest = r
    if smallest != i:
        array[i], array[smallest] = array[smallest], array[i]
        heapify(array, n, smallest)
def heapSort(array):
    n = len(array)
    for i in range(n//2, -1, -1):
        heapify(array, n, i)
    for i in range(n-1, 0, -1):
        array[i], array[0] = array[0], array[i]
        heapify(array, i, 0)
    return array
arr = [6,5,4,8]
arr2 = heapSort(arr.copy())
print([arr2.index(i) for i in arr])




"
"write a python program to sort an array in ascending order using heap sort
","def mergeSort(nums):
    if len(nums)==1:
        return nums
    mid = (len(nums)-1) // 2
    lst1 = mergeSort(nums[:mid+1])
    lst2 = mergeSort(nums[mid+1:])
    result = merge(lst1, lst2)
    return result
def merge(lst1, lst2):
    lst = []
    i = 0
    j = 0
    while(i<=len(lst1)-1 and j<=len(lst2)-1):
        if lst1[i]<lst2[j]:
            lst.append(lst1[i])
            i+=1
        else:
            lst.append(lst2[j])
            j+=1
    if i>len(lst1)-1:
        while(j<=len(lst2)-1):
            lst.append(lst2[j])
            j+=1
    else:
        while(i<=len(lst1)-1):
            lst.append(lst1[i])
            i+=1
    return lst
arr = [9,4,3,5,6,1,2,7]
print(mergeSort(arr))




"
"write a python program to sort an array in descending order using merge sort
","def mergeSort(nums):
    if len(nums)==1:
        return nums
    mid = (len(nums)-1) // 2
    lst1 = mergeSort(nums[:mid+1])
    lst2 = mergeSort(nums[mid+1:])
    result = merge(lst1, lst2)
    return result
def merge(lst1, lst2):
    lst = []
    i = 0
    j = 0
    while(i<=len(lst1)-1 and j<=len(lst2)-1):
        if lst1[i]>lst2[j]:
            lst.append(lst1[i])
            i+=1
        else:
            lst.append(lst2[j])
            j+=1
    if i>len(lst1)-1:
        while(j<=len(lst2)-1):
            lst.append(lst2[j])
            j+=1
    else:
        while(i<=len(lst1)-1):
            lst.append(lst1[i])
            i+=1
    return lst
arr = [9,4,3,5,6,1,2,7]
print(mergeSort(arr))




"
"write a python program to find the element that appears more than ⌊n / 2⌋ times in an array using merge sort, assume that this element always exists in the array
","def mergeSort(nums):
    if len(nums)==1:
        return nums
    mid = (len(nums)-1) // 2
    lst1 = mergeSort(nums[:mid+1])
    lst2 = mergeSort(nums[mid+1:])
    result = merge(lst1, lst2)
    return result
def merge(lst1, lst2):
    lst = []
    i = 0
    j = 0
    while(i<=len(lst1)-1 and j<=len(lst2)-1):
        if lst1[i]<lst2[j]:
            lst.append(lst1[i])
            i+=1
        else:
            lst.append(lst2[j])
            j+=1
    if i>len(lst1)-1:
        while(j<=len(lst2)-1):
            lst.append(lst2[j])
            j+=1
    else:
        while(i<=len(lst1)-1):
            lst.append(lst1[i])
            i+=1
    return lst
arr = [2,2,1,1,1,2,2]
arr = mergeSort(arr)
print(arr[len(arr)//2])




"
"write a python program to check if any value appears at least twice in the array using merge sort
","def mergeSort(nums):
    if len(nums)==1:
        return nums
    mid = (len(nums)-1) // 2
    lst1 = mergeSort(nums[:mid+1])
    lst2 = mergeSort(nums[mid+1:])
    result = merge(lst1, lst2)
    return result
def merge(lst1, lst2):
    lst = []
    i = 0
    j = 0
    while(i<=len(lst1)-1 and j<=len(lst2)-1):
        if lst1[i]<lst2[j]:
            lst.append(lst1[i])
            i+=1
        else:
            lst.append(lst2[j])
            j+=1
    if i>len(lst1)-1:
        while(j<=len(lst2)-1):
            lst.append(lst2[j])
            j+=1
    else:
        while(i<=len(lst1)-1):
            lst.append(lst1[i])
            i+=1
    return lst
arr = [1,2,3,1]
arr = mergeSort(arr)
for i in range(len(arr)-1):
    if arr[i] == arr[i+1]:
        print(""A value appears at least twice in the array"")
        break
    else:
        if (i+1 == len(arr)-1):
            print(""No value appear twice in the array"")




"
